isolate,amp_mic,amp_sir,coa_mic,coa_sir
AMC_312,<=2,S,4/2,S
AMC_313,>8,R,>32/2,R
AMC_314,<=2,S,<=2/2,S
AMC_315,>8,R,>32/2,R
AMC_316,>8,R,8/2,S
AMC_317,>8,R,16/2,R
AMC_318,>8,R,16/2,R
AMC_319,<=2,S,4/2,S
AMC_320,>8,R,8/2,S
AMC_321,>8,R,4/2,S
AMC_322,<=2,S,4/2,S
AMC_323,4,S,4/2,S
AMC_324,<=2,S,4/2,S
AMC_325,<=2,S,4/2,S
AMC_326,<=2,S,<=2/2,S
AMC_327,<=2,S,4/2,S
AMC_328,>8,R,8/2,S
AMC_329,<=2,S,<=2/2,S
AMC_330,<=2,S,<=2/2,S
AMC_331,>8,R,>32/2,R
AMC_332,<=2,S,4/2,S
AMC_333,<=2,S,<=2/2,S
AMC_334,>8,R,8/2,S
AMC_335,<=2,S,4/2,S
AMC_336,>8,R,>32/2,R
AMC_337,4,S,8/2,S
AMC_338,<=2,S,<=2/2,S
AMC_339,<=2,S,4/2,S
AMC_340,<=2,S,4/2,S
AMC_341,>8,R,8/2,S
AMC_342,>8,R,8/2,S
AMC_343,>8,R,8/2,S
AMC_344,<=2,S,8/2,S
AMC_345,<=2,S,4/2,S
AMC_346,>8,R,16/2,R
AMC_347,<=2,S,4/2,S
AMC_348,<=2,S,4/2,S
AMC_349,<=2,S,<=2/2,S
AMC_350,>8,R,4/2,S
AMC_351,>8,R,>32/2,R
AMC_352,>8,R,8/2,S
AMC_353,<=2,S,4/2,S
AMC_354,>8,R,8/2,S
AMC_355,>8,R,8/2,S
AMC_356,>8,R,>32/2,R
AMC_357,<=2,S,4/2,S
AMC_358,>8,R,>32/2,R
AMC_359,>8,R,8/2,S
AMC_360,>8,R,8/2,S
AMC_361,<=2,S,4/2,S
AMC_362,<=2,S,4/2,S
AMC_363,<=2,S,4/2,S
AMC_364,>8,R,>32/2,R
AMC_365,<=2,S,<=2/2,S
AMC_366,>8,R,8/2,S
AMC_367,>8,R,8/2,S
AMC_368,<=2,S,4/2,S
AMC_369,<=2,S,<=2/2,S
AMC_370,>8,R,8/2,S
AMC_371,<=2,S,<=2/2,S
AMC_372,>8,R,4/2,S
AMC_373,>8,R,16/2,R
AMC_374,>8,R,16/2,R
AMC_375,<=2,S,<=2/2,S
AMC_376,>8,R,16/2,R
AMC_377,>8,R,16/2,R
AMC_378,<=2,S,4/2,S
