isolate,amp_mic,amp_sir,coa_mic,coa_sir
AMC_802,>8,R,>32/2,R
AMC_803,<=2,S,<=2/2,S
AMC_804,4,S,4/2,S
AMC_805,>8,R,>32/2,R
AMC_806,>8,R,32/2,R
AMC_807,<=2,S,<=2/2,S
AMC_808,<=2,S,<=2/2,S
AMC_809,>8,R,16/2,R
AMC_810,<=2,S,<=2/2,S
AMC_811,<=2,S,4/2,S
AMC_812,>8,R,32/2,R
AMC_813,>8,R,8/2,S
AMC_814,>8,R,32/2,R
AMC_815,4,S,8/2,S
AMC_816,>8,R,>32/2,R
AMC_817,<=2,S,4/2,S
AMC_818,<=2,S,4/2,S
AMC_819,>8,R,8/2,S
AMC_820,<=2,S,<=2/2,S
AMC_821,<=2,S,<=2/2,S
AMC_822,>8,R,32/2,R
AMC_823,<=2,S,<=2/2,S
AMC_824,>8,R,>32/2,R
AMC_825,>8,R,32/2,R
AMC_826,4,S,4/2,S
AMC_827,<=2,S,4/2,S
AMC_828,>8,R,>32/2,R
AMC_829,4,S,8/2,S
AMC_830,<=2,S,4/2,S
AMC_831,<=2,S,4/2,S
AMC_832,>8,R,8/2,S
AMC_833,>8,R,8/2,S
AMC_834,>8,R,32/2,R
AMC_835,<=2,S,4/2,S
AMC_836,<=2,S,4/2,S
AMC_837,>8,R,16/2,R
AMC_838,>8,R,>32/2,R
AMC_839,>8,R,16/2,R
AMC_840,>8,R,8/2,S
AMC_841,<=2,S,<=2/2,S
AMC_842,<=2,S,4/2,S
AMC_843,>8,R,8/2,S
AMC_844,>8,R,16/2,R
AMC_845,>8,R,8/2,S
AMC_846,<=2,S,4/2,S
AMC_847,>8,R,8/2,S
AMC_848,<=2,S,4/2,S
AMC_849,4,S,8/2,S
AMC_850,>8,R,4/2,S
AMC_851,>8,R,8/2,S
AMC_852,>8,R,8/2,S
AMC_853,4,S,4/2,S
AMC_854,>8,R,8/2,S
AMC_855,<=2,S,4/2,S
AMC_856,>8,R,16/2,R
AMC_857,<=2,S,4/2,S
AMC_858,<=2,S,4/2,S
AMC_859,>8,R,4/2,S
AMC_860,>8,R,>32/2,R
AMC_861,<=2,S,4/2,S
AMC_862,<=2,S,4/2,S
AMC_863,>8,R,4/2,S
AMC_864,<=2,S,<=2/2,S
AMC_865,>8,R,>32/2,R
AMC_866,>8,R,>32/2,R
AMC_867,<=2,S,<=2/2,S
AMC_868,>8,R,4/2,S
AMC_869,>8,R,8/2,S
AMC_870,4,S,4/2,S
AMC_871,<=2,S,<=2/2,S
AMC_872,>8,R,16/2,R
AMC_873,>8,R,8/2,S
AMC_874,>8,R,>32/2,R
AMC_875,>8,R,>32/2,R
AMC_876,>8,R,>32/2,R
AMC_877,<=2,S,4/2,S
AMC_878,>8,R,16/2,R
AMC_879,>8,R,8/2,S
AMC_880,>8,R,>32/2,R
AMC_881,>8,R,>32/2,R
AMC_882,<=2,S,<=2/2,S
AMC_883,>8,R,8/2,S
AMC_884,>8,R,>32/2,R
AMC_885,<=2,S,<=2/2,S
AMC_886,<=2,S,4/2,S
AMC_887,<=2,S,4/2,S
AMC_888,<=2,S,4/2,S
AMC_889,>8,R,>32/2,R
AMC_890,4,S,4/2,S
AMC_891,<=2,S,<=2/2,S
AMC_892,4,S,8/2,S
AMC_893,>8,R,>32/2,R
AMC_894,>8,R,4/2,S
AMC_895,>8,R,>32/2,R
AMC_896,>8,R,8/2,S
AMC_897,>8,R,>32/2,R
AMC_898,>8,R,32/2,R
AMC_899,>8,R,8/2,S
AMC_900,>8,R,>32/2,R
AMC_901,<=2,S,4/2,S
AMC_902,>8,R,8/2,S
AMC_903,>8,R,>32/2,R
AMC_904,>8,R,>32/2,R
AMC_905,>8,R,16/2,R
AMC_906,>8,R,8/2,S
AMC_907,>8,R,16/2,R
AMC_908,>8,R,16/2,R
AMC_909,<=2,S,4/2,S
AMC_910,>8,R,16/2,R
AMC_911,<=2,S,4/2,S
AMC_912,<=2,S,4/2,S
AMC_913,<=2,S,<=2/2,S
AMC_914,<=2,S,<=2/2,S
AMC_915,>8,R,>32/2,R
AMC_916,>8,R,>32/2,R
AMC_917,>8,R,>32/2,R
AMC_918,>8,R,8/2,S
AMC_919,<=2,S,<=2/2,S
AMC_920,<=2,S,<=2/2,S
AMC_921,>8,R,>32/2,R
AMC_922,<=2,S,<=2/2,S
AMC_923,<=2,S,<=2/2,S
AMC_924,>8,R,8/2,S
AMC_925,>8,R,>32/2,R
AMC_926,>8,R,>32/2,R
AMC_927,<=2,S,<=2/2,S
AMC_928,>8,R,>32/2,R
AMC_929,<=2,S,<=2/2,S
AMC_930,>8,R,8/2,S
AMC_931,>8,R,4/2,S
AMC_932,<=2,S,<=2/2,S
AMC_933,>8,R,32/2,R
AMC_934,>8,R,8/2,S
AMC_935,>8,R,>32/2,R
AMC_936,>8,R,>32/2,R
AMC_937,>8,R,>32/2,R
AMC_938,>8,R,32/2,R
AMC_939,>8,R,32/2,R
AMC_940,<=2,S,4/2,S
AMC_941,<=2,S,4/2,S
AMC_942,>8,R,16/2,R
AMC_943,<=2,S,4/2,S
AMC_944,>8,R,16/2,R
AMC_945,<=2,S,<=2/2,S
AMC_946,>8,R,16/2,R
AMC_947,>8,R,16/2,R
AMC_948,>8,R,16/2,R
AMC_949,>8,R,>32/2,R
AMC_950,>8,R,8/2,S
AMC_951,>8,R,8/2,S
AMC_952,>8,R,>32/2,R
AMC_953,<=2,S,<=2/2,S
AMC_954,<=2,S,<=2/2,S
AMC_955,>8,R,8/2,S
AMC_956,>8,R,>32/2,R
AMC_957,<=2,S,4/2,S
AMC_958,>8,R,32/2,R
AMC_959,<=2,S,4/2,S
AMC_960,>8,R,16/2,R
AMC_961,>8,R,>32/2,R
AMC_962,>8,R,8/2,S
AMC_963,<=2,S,<=2/2,S
AMC_964,>8,R,16/2,R
AMC_965,<=2,S,4/2,S
AMC_966,<=2,S,4/2,S
AMC_967,<=2,S,<=2/2,S
AMC_968,<=2,S,<=2/2,S
AMC_969,>8,R,>32/2,R
AMC_970,<=2,S,4/2,S
AMC_971,>8,R,32/2,R
AMC_972,<=2,S,4/2,S
AMC_973,>8,R,8/2,S
AMC_974,>8,R,8/2,S
AMC_975,>8,R,32/2,R
